Year,Average Closing,Year Open,Year High,Year Low,Year Close,Annual % Change
2019,15.46,15.65,17.28,14.32,17.15,10.52
2018,15.71,17.21,17.62,13.98,15.52,-9.4
2017,17.07,16.41,18.51,15.43,17.13,7.12
2016,17.17,13.84,20.7,13.75,15.99,15.86
2015,15.66,15.71,18.23,13.7,13.8,-13.59
2014,19.07,19.94,22.05,15.28,15.97,-18.1
2013,23.79,30.87,32.23,18.61,19.5,-34.89
2012,31.15,28.78,37.23,26.67,29.95,6.28
2011,35.12,30.67,48.7,26.16,28.18,-8.0
2010,20.19,17.17,30.7,15.14,30.63,80.28
2009,14.67,11.08,19.18,10.51,16.99,57.46
2008,14.99,14.93,20.92,8.88,10.79,-26.9
2007,13.38,13.01,15.82,11.67,14.76,14.42
2006,11.55,9.04,14.94,8.83,12.9,46.09
2005,7.31,6.39,9.23,6.39,8.83,29.47
2004,6.66,5.99,8.29,5.5,6.82,14.24
2003,4.88,4.74,5.97,4.37,5.97,27.84
2002,4.6,4.59,5.1,4.24,4.67,3.32
2001,4.37,4.59,4.82,4.07,4.52,-1.31
2000,4.95,5.3,5.45,4.57,4.58,-14.07
1999,5.22,5.0,5.75,4.88,5.33,6.39
1998,5.54,5.94,7.81,4.69,5.01,-16.5
1997,4.9,4.77,6.27,4.22,6.0,25.0
1996,5.2,5.17,5.83,4.71,4.8,-6.61
1995,5.2,4.84,6.04,4.42,5.14,5.98
1994,5.29,5.28,5.75,4.64,4.85,-5.27
1993,4.31,3.66,5.42,3.56,5.12,39.51
1992,3.95,3.87,4.34,3.65,3.67,-4.92
1991,4.06,4.16,4.57,3.55,3.86,-7.88
1990,4.83,5.21,5.36,3.95,4.19,-19.73
1989,5.5,6.07,6.21,5.05,5.22,-13.72
1988,6.53,6.64,7.82,6.05,6.05,-9.7
1987,7.02,5.36,10.93,5.36,6.7,26.89
1986,5.47,5.81,6.31,4.85,5.28,-8.97
1985,6.13,6.25,6.75,5.45,5.8,-7.79
1984,8.15,8.96,10.11,6.22,6.29,-29.41
1983,11.42,11.07,14.67,7.54,8.91,-18.03
1982,7.92,8.06,11.11,4.9,10.87,33.37
1981,10.49,15.8,16.3,8.03,8.15,-47.42
1980,20.98,39.95,49.45,10.89,15.5,-51.86
1979,11.07,6.08,32.2,5.94,32.2,434.88
1978,5.42,4.87,6.26,4.82,6.02,26.47
1977,4.64,4.43,4.98,4.31,4.76,9.17
1976,4.35,4.16,5.08,3.83,4.36,4.31
1975,4.43,4.44,5.21,3.93,4.18,-6.49
1974,4.67,3.28,6.76,3.27,4.47,37.12
1973,2.55,2.04,3.26,1.96,3.26,60.59
1972,1.68,1.37,2.03,1.37,2.03,48.18
1971,1.54,1.65,1.75,1.27,1.37,-15.95
1970,1.77,1.8,1.93,1.57,1.63,-8.94
1969,1.8,1.96,2.04,1.56,1.79,-8.21
